Year,1,2,3,4,5,6+
1973,0.119323896734654,0.150537693308852,0.340302688604929,0.186439786675548,0.132131909109926,0.071264025566091
1974,0.143825139005246,0.226914457497565,0.0805288937775554,0.316983408886374,0.134204406796488,0.0975436940367723
1975,0.571739296376358,0.15714848326561,0.0579031086994477,0.0870643694350666,0.0831008887835963,0.0430438534399217
1976,0.27476753449794,0.588279984904967,0.048958023429248,0.00646430803451092,0.0102111108226993,0.0713190383106342
1977,0.510178021649523,0.324685226632475,0.127419510854669,0.00740478292124979,0.00633829908413626,0.0239741588579465
1978,0.277988811934143,0.637789299474686,0.0395616910699325,0.0315021403115387,0.00320452027000169,0.00995353693969778
1979,0.224595299506085,0.493926351587281,0.237504232335542,0.0361866393819551,0.00395309813933238,0.00383437904980494
1980,0.224751830109166,0.566796031271334,0.147517666256336,0.060934472363164,0,0
1981,0.456806276199427,0.461127276218646,0.0657022255209329,0.00959520783386781,0.00556436645028859,0.00120464777683769
1982,0.0807355038999811,0.712466347220669,0.175837904702464,0.0214154695640457,0.00954477461283979,0
1983,0.0982239648915799,0.584359192270143,0.290064274926839,0.0240020672705435,0.00198148668277947,0.0013690139581145
1984,0.315164248324375,0.278222719731512,0.33371116306125,0.0729018688828635,0,0
1985,0.588549720852294,0.297584294304084,0.0758629577813767,0.0380030270622462,0,0
1986,0.173763214778671,0.602503210757436,0.169521410691389,0.0486616951614385,0.00555046861106556,0
1987,0.498791876367494,0.242449615707209,0.211192194601338,0.0194376815260543,0.0163604413557251,0.0117681904421796
1988,0.872350859797725,0.0634683037602938,0.0281498261101499,0.0281115933019366,0.0026398050973464,0.00527961193254773
1989,0.00190176002145798,0.863038696503337,0.119851376227254,0.0142636179906619,0.000944549257289385,0
1990,0.00490419856165597,0.351088946657745,0.596555860249824,0.0474509945307749,0,0
1991,0.208219605623172,0.0898801773752241,0.566415699594301,0.135484517407303,0,0
1992,0.305953386680025,0.0435895374147467,0.130784509485995,0.519672566419232,0,0
1993,0.559583972954792,0.047053141763113,0.218862652431137,0.174500232850958,0,0
1994,0.49663898078412,0.300737899157692,0.0720595481100866,0.078200886886746,0.0355927829004481,0.0167699021609066
1995,0.114921801570247,0.533324180023842,0.212713608600595,0.0954238272473962,0,0.0436165825579201
1996,0.48273282900719,0.173197315260084,0.344069855732726,0,0,0
1997,0.265647174231825,0.167671099406305,0.471444573844465,0.087593883832777,0.00764326868462833,0
1998,0.328990887680796,0.598933597370153,0.0456372080587713,0.0179633778901472,0,0.0084749290001323
1999,0.630119323493834,0.19940271789941,0.142040595686985,0.0142186814598851,0.0142186814598851,0
2000,0.022284916298068,0.753349389353011,0.136770118178132,0.0772467658624577,0,0.0103488103083319
2001,0.317228499470979,0.496388745701641,0.128702286371995,0.0576804684553837,0,0
2002,0.0845937155137364,0.58324621014114,0.28528779694488,0.0468722774002439,0,0
2003,0.687923216864356,0.00486204579443246,0.157919200563994,0.134709397858546,0,0.0145861389186723
2004,0.266240003958828,0.371086368434943,0,0.0871630707310636,0.181485286355239,0.0940252705199261
2005,0.716917801759337,0.176091483197237,0.0703533177842119,0.0184574988320511,0.0181798984271626,0
2006,0.337415929895763,0.608829015233692,0.0483145304613324,0.00544052440921217,0,0
2007,0.129778279574452,0.648543519272512,0.206361534952308,0,0.0153166662007278,0
2008,0.324300764953177,0.119845185040861,0.326725177120796,0.203599749168992,0.0179776971780113,0.00755142653816247
2009,0.224904918083171,0.371764882182984,0.222819322535723,0.167508288409884,0.0130025887882382,0
2010,0.0302032070440182,0.46357492832706,0.25552676481032,0.184468296683789,0.0662268031348133,0
2011,0.13565729612845,0.236183082955859,0.32503548851351,0.199634206523697,0.0948714886997279,0.00861843717875652
2012,0.0517668466279194,0.543584961507504,0.217325159025583,0.123265714737142,0.0296451796667172,0.0344121384351346
2013,0.147669520708527,0.15323432119066,0.504612869355765,0.108273815968501,0.0552102807567623,0.0309991920197847
2014,0.097572862623867,0.388207530690095,0.156476097759162,0.295722649339051,0,0.0620208595878253
2015,0,0,0.401234026167086,0.47942113605631,0,0.119344837776604
2016,0.236650468356058,0.284281562260602,0.0699433199147397,0.194535464489468,0.0814736102071418,0.133115574771991
